class,count,capital,ave_cap
豆類、麥類及其他雜糧零售,221,852646667.0,3858129.714932127
豆類加工食品（豆腐、豆乾、豆皮、豆腐乳、豆豉、豆漿除外）製造,114,940968900.0,8254113.157894737
豆類製品零售,76,77239000.0,1016302.6315789474
豪華理容總匯,7,2250000.0,321428.5714285714
豬飼育,187,995869000.0,5325502.673796792
財務管理顧問服務,591,10160847573.0,17192635.487309646
財產保險代理,194,1374441300.0,7084748.969072165
財產保險經紀,195,4274566760.0,21920855.17948718
貨櫃修理,40,389655000.0,9741375.0
貨櫃出租,59,728300000.0,12344067.79661017
貨櫃及貨物集散站經營,75,78755844524.0,1050077926.9866667
貨櫃屋批發,392,9034471838.0,23047122.035714287
貨櫃製造,8,4246219630.0,530777453.75
貨車製造,1,200000.0,200000.0
貴金屬製造,79,796403520.0,10081057.215189874
貼面石材批發,919,4934291116.0,5369195.991294886
資源回收物清除,614,3095636100.0,5041752.605863192
賽車場,6,155800000.0,25966666.666666668
起重工程,2217,3002219376.0,1354181.044654939
超級市場,545,20951002090.0,38442205.66972477
車套、車用椅套製造,25,149450000.0,5978000.0
軌道車輛及其零件製造,34,7171227010.0,210918441.47058824
軌道車輛維修,29,242405000.0,8358793.1034482755
軟木製品製造,6,17200000.0,2866666.6666666665
軟體內容複製,31,227733330.0,7346236.451612903
軸承製造,8,18410000.0,2301250.0
輪胎製造,59,61342413710.0,1039701927.2881356
輸送機、堆高機、起重機製造,69,811650000.0,11763043.47826087
輸送機械批發,127,377408000.0,2971716.5354330707
輻射及電子醫學設備製造,28,8991720900.0,321132889.28571427
辛料、香料批發,60,250279000.0,4171316.6666666665
辦公室家具批發,321,1008450932.0,3141591.6884735203
農、林、漁、礦、食品、紡織等技術指導服務,618,12565012028.0,20331734.67313916
農作物採收,60,33843460.0,564057.6666666666
農會及漁會信用部,123,4952996841.0,40268267.0
農業及其他工業用機械設備租賃,334,7803268790.0,23363080.20958084
農業及園藝機械批發,378,1955371859.0,5172941.425925926
農業機械零配件製造,22,195720000.0,8896363.636363637
農民團體,36,2447932700.0,67998130.55555555
農產品批發市場經營,53,405570000.0,7652264.150943397
農產品（家畜及家禽肉品）批發市場承銷,68,299200000.0,4400000.0
農產品（果菜）批發市場承銷,338,887650769.0,2626185.7071005916
農產品（活體家畜、家禽）批發市場承銷,39,437730000.0,11223846.153846154
農產品（花卉）批發市場承銷,66,295257000.0,4473590.909090909
農產品（魚）批發市場承銷,97,746437000.0,7695226.804123712
農用手工具製造,77,1430616000.0,18579428.57142857
農藥批發,416,1830596091.0,4400471.372596154
農藥製造,41,7541671410.0,183943205.12195122
近海及沿岸漁撈,358,569256800.0,1590102.7932960894
通用機械設備維修及安裝,793,2608143787.0,3288958.1172761666
通用電池批發,488,6892791355.0,14124572.448770491
通用電池零售,144,430042888.0,2986408.9444444445
通訊傳播設備維修,122,83080000.0,680983.606557377
通訊傳播設備（電話、手機除外）批發,482,5471293980.0,11351232.323651452
速食湯包製造,3,301000000.0,100333333.33333333
速食麵條、粉條製造,13,427879820.0,32913832.307692308
造林,187,868797388.0,4645975.336898396
造紙印刷機械批發,145,667589800.0,4604067.586206896
造紙機械設備製造,83,2224835504.0,26805247.036144577
連鎖速食店,262,5133959850.0,19595266.603053436
進口家用家具批發,353,3238885430.0,9175312.83286119
進口家用家具零售,110,578901939.0,5262744.9
進口菸酒批發,1122,11784023592.0,10502694.823529411
遊戲程式設計,652,16040587084.0,24602127.429447852
遊戲軟體出版,98,3032377019.0,30942622.64285714
遊樂園及主題樂園,161,35803375570.0,222381214.7204969
遊覽車客運,844,30452180000.0,36080781.99052133
運動及娛樂用品租賃,131,335662000.0,2562305.3435114506
運輸公證服務,142,349205000.0,2459190.1408450706
運輸工具清潔服務（汽車除外）,16,43900000.0,2743750.0
運輸工具（機車、汽車除外）批發,111,683289000.0,6155756.756756756
道路工程,1052,114217409483.0,108571682.01806083
道路清潔服務,78,1357246240.0,17400592.82051282
道館,10,181525000.0,18152500.0
遠洋漁撈,497,9753840000.0,19625432.59557344
郵政儲金匯兌,1,79932000000.0,79932000000.0
郵政業務服務,3,900000.0,300000.0
都市、鄉鎮規劃,79,3546808460.0,44896309.62025317
配線用開關、電插座製造,174,3798225010.0,21828879.36781609
酵母製造,6,32801000.0,5466833.333333333
酸類製造,31,6717733300.0,216701074.19354838
醃漬水產品批發,31,178100000.0,5745161.29032258
醃漬水產品製造,11,66950000.0,6086363.636363637
